date,origin,destiny,altitude_destiny_mbsl,distance_km,unit_type,charge_tons,weather,driver_experience_years,theorical_time_arrival_hs,real_time_hs,liters_consumed_100km,critical_delay,delay_hs,cost_delay_usd,predicted_time_hs,error_abs_hs
2023-02-05 08:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,30.82,clear,7,6.39,8.32,69.44,1,1.9300000000000006,965.0000000000003,7.341293048003958,0.9787069519960419
2023-01-14 14:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,24.22,clear,18,2.99,3.49,64.31,0,0.5,250.0,3.894661181817632,0.404661181817632
2023-05-10 20:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,32.41,clear,20,5.74,7.52,71.69,1,1.7799999999999994,889.9999999999997,6.6602872587214,0.8597127412785994
2023-01-11 17:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,20.3,clear,11,2.72,4.41,63.21,1,1.69,845.0,3.782881429724121,0.6271185702758793
2023-06-22 16:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,20.94,clear,12,2.73,4.3,63.66,1,1.5699999999999998,784.9999999999999,3.7371442246410216,0.5628557753589782
2023-09-03 20:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,34.97,clear,5,1.37,3.1,58.71,1,1.73,865.0,2.589882228529347,0.5101177714706533
2023-10-22 19:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,44.59,clear,13,3.04,3.24,80.21,0,0.20000000000000018,100.00000000000009,3.9854901639946436,0.7454901639946434
2023-11-22 23:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,40.01,clear,4,2.98,4.3,77.01,1,1.3199999999999998,659.9999999999999,3.9809429722057246,0.31905702779427525
2023-01-04 07:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,31.71,clear,17,2.86,2.95,71.2,0,0.0900000000000003,45.00000000000015,3.8585162705477716,0.9085162705477714
2023-04-17 12:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,38.09,snow,8,1.39,8.74,60.46,1,7.3500000000000005,3675.0000000000005,6.5604886508183125,2.1795113491816878
2023-01-30 14:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,34.43,clear,5,3.13,5.0,71.27,1,1.87,935.0,4.272535170611101,0.7274648293888992
2023-12-29 14:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,43.53,white wind,18,15.14,21.99,79.47,1,6.849999999999998,3424.999999999999,19.55712589308465,2.4328741069153494
2023-04-22 03:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,29.43,clear,15,4.82,6.61,68.48,1,1.79,895.0,5.715320202462834,0.8946797975371661
2023-04-21 18:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,30.1,clear,5,2.84,3.97,70.07,0,1.1300000000000003,565.0000000000001,3.874948821031516,0.09505117896848425
2023-07-23 15:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,41.91,clear,8,6.01,7.6,78.34,1,1.5899999999999999,794.9999999999999,7.070686214946553,0.5293137850534464
2023-09-20 13:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,35.85,clear,2,1.38,1.75,59.21,0,0.3700000000000001,185.00000000000006,2.4005670238172176,0.6505670238172176
2023-11-28 18:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,26.34,white wind,13,15.65,21.48,66.35,1,5.83,2915.0,20.652358279850443,0.8276417201495576
2023-04-13 16:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,44.78,clear,19,6.09,7.58,80.35,1,1.4900000000000002,745.0000000000001,7.103581652415239,0.47641834758476076
2023-11-13 12:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,44.18,rain,5,6.07,12.58,79.93,1,6.51,3255.0,11.001314104144104,1.5786858958558962
2023-09-19 14:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,40.39,rain,19,5.07,10.46,76.03,1,5.390000000000001,2695.0000000000005,10.07557903811901,0.3844209618809913
2023-04-13 08:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,21.68,clear,17,6.13,7.47,63.14,1,1.3399999999999999,669.9999999999999,7.205858884418983,0.26414111558101716
2023-12-09 03:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,25.06,clear,16,4.72,5.94,65.47,1,1.2200000000000006,610.0000000000003,5.583721034530024,0.3562789654699765
2023-02-12 06:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,43.4,white wind,3,3.57,11.19,63.43,1,7.619999999999999,3809.9999999999995,7.863480486193376,3.3265195138066233
2023-01-07 06:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,40.17,clear,13,5.96,6.38,77.12,0,0.41999999999999993,209.99999999999997,6.916638088295556,0.5366380882955557
2023-10-17 03:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,36.08,clear,2,2.92,3.49,74.26,0,0.5700000000000003,285.0000000000001,3.950148149308576,0.46014814930857595
2023-04-27 17:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,22.22,clear,8,5.49,5.64,64.55,0,0.14999999999999947,74.99999999999973,6.479120970114349,0.8391209701143492
2023-08-04 05:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,43.6,clear,5,3.03,4.43,79.52,1,1.4,700.0,4.019226548968211,0.41077345103178864
2023-05-17 10:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,36.72,clear,11,1.38,2.42,59.69,0,1.04,520.0,2.3291389596985335,0.09086104030146647
2023-08-31 06:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,22.97,clear,17,1.3,1.98,52.0,0,0.6799999999999999,339.99999999999994,2.294433473095789,0.31443347309578895
2023-10-03 09:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,33.09,white wind,18,7.2,13.18,72.16,1,5.9799999999999995,2989.9999999999995,12.947421429014213,0.23257857098578683
2023-03-07 23:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,36.1,clear,13,1.38,2.11,59.35,0,0.73,365.0,2.456191312259437,0.3461913122594371
2023-11-06 22:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,41.85,clear,1,6.01,6.03,78.29,0,0.020000000000000462,10.000000000000231,7.073266114165311,1.043266114165311
2023-04-17 15:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,35.18,clear,13,4.95,5.85,72.44,0,0.8999999999999995,449.9999999999997,5.88334647444019,0.03334647444019012
2023-03-04 21:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,40.37,rain,11,1.41,7.09,61.74,1,5.68,2840.0,6.403434433043365,0.6865655669566353
2023-05-28 04:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,43.73,clear,3,3.27,3.33,77.62,0,0.06000000000000005,30.00000000000003,4.322950981946707,0.9929509819467066
2023-03-09 00:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,33.02,clear,20,4.9,6.83,70.96,1,1.9299999999999997,964.9999999999999,5.8666007651815315,0.9633992348184686
2023-11-28 04:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,20.92,clear,4,2.95,3.47,62.05,0,0.52,260.0,3.8959619195875206,0.4259619195875204
2023-11-06 23:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,23.41,rain,12,5.52,10.07,65.39,1,4.550000000000001,2275.0000000000005,10.599773157353027,0.5297731573530271
2023-09-07 02:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,26.03,clear,2,2.79,4.47,67.22,1,1.6799999999999997,839.9999999999999,3.848024396472766,0.6219756035272339
2023-09-30 05:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,40.91,snow,9,2.99,10.12,77.64,1,7.129999999999999,3564.9999999999995,7.828629615808938,2.291370384191061
2023-04-17 04:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,31.86,white wind,20,3.38,9.89,56.98,1,6.510000000000001,3255.0000000000005,8.121213673498755,1.768786326501246
2023-05-05 13:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,28.7,clear,12,1.33,2.53,55.21,0,1.1999999999999997,599.9999999999999,2.349692328683299,0.1803076713167009
2023-12-29 20:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,42.89,clear,3,3.02,3.21,79.02,0,0.18999999999999995,94.99999999999997,3.911477412960947,0.7014774129609469
2023-10-10 18:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,23.64,clear,7,1.3,2.63,52.38,1,1.3299999999999998,664.9999999999999,2.3203585069075405,0.30964149309245936
2023-01-05 07:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,24.8,clear,15,5.55,7.13,66.36,1,1.58,790.0,6.608505217940271,0.5214947820597287
2023-09-11 21:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,36.06,white wind,7,7.89,15.29,72.39,1,7.3999999999999995,3699.9999999999995,12.855147882687394,2.434852117312605
2023-10-27 15:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,29.18,clear,11,6.34,7.71,68.31,1,1.37,685.0,7.280486886180452,0.4295131138195476
2023-05-22 12:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,20.54,clear,10,6.1,6.15,62.36,0,0.05000000000000071,25.000000000000355,6.966457779576637,0.8164577795766368
2023-07-23 11:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,34.58,clear,1,5.8,6.09,73.21,0,0.29000000000000004,145.00000000000003,6.746588293405483,0.6565882934054832
2023-12-06 11:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,22.24,white wind,13,11.66,15.54,63.53,1,3.879999999999999,1939.9999999999995,15.978786321045213,0.43878632104521387
2023-09-26 07:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,21.57,clear,4,2.74,3.08,64.1,0,0.33999999999999986,169.99999999999994,3.5777081068413836,0.49770810684138356
2023-05-24 01:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,34.67,clear,17,3.13,4.74,71.44,1,1.6100000000000003,805.0000000000001,4.197636242552123,0.5423637574478768
2023-09-11 02:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,43.93,clear,13,6.79,8.34,78.47,1,1.5499999999999998,774.9999999999999,7.953965527710926,0.38603447228907406
2023-11-04 12:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,33.12,clear,15,3.11,4.42,70.38,1,1.31,655.0,4.050785031020946,0.3692149689790538
2023-09-16 12:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,36.65,clear,6,1.38,3.0,59.65,1,1.62,810.0,2.4897041985360944,0.5102958014639056
2023-12-12 10:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,40.01,rain,15,1.4,5.68,61.53,1,4.279999999999999,2139.9999999999995,6.403485116800636,0.723485116800636
2023-08-06 04:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,24.21,clear,10,1.31,2.76,52.7,1,1.4499999999999997,724.9999999999999,2.2697531898703955,0.49024681012960425
2023-01-30 02:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,33.79,clear,7,2.89,4.55,72.65,1,1.6599999999999997,829.9999999999999,3.9917673133822578,0.5582326866177421
2023-12-26 11:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,38.13,clear,11,5.9,6.17,75.69,0,0.2699999999999996,134.99999999999977,6.846070825725363,0.6760708257253629
2023-10-23 13:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,43.7,clear,16,1.43,2.04,63.6,0,0.6100000000000001,305.00000000000006,2.3430106877605463,0.3030106877605463
2023-08-02 09:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,39.36,rain,12,5.93,11.49,76.55,1,5.5600000000000005,2780.0000000000005,11.458153622882474,0.03184637711752636
2023-01-24 09:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,23.32,clear,4,1.3,2.84,52.2,1,1.5399999999999998,769.9999999999999,2.4578480216502574,0.38215197834974246
2023-10-19 10:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,22.1,clear,19,4.66,4.95,63.43,0,0.29000000000000004,145.00000000000003,5.753376613767879,0.8033766137678784
2023-05-31 19:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,24.94,clear,2,4.72,5.85,65.39,0,1.13,565.0,5.672151298506994,0.1778487014930059
2023-04-08 22:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,40.86,clear,20,3.23,5.1,75.66,1,1.8699999999999997,934.9999999999999,4.246861382537643,0.8531386174623563
2023-07-16 17:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,43.23,clear,6,6.77,7.56,77.99,0,0.79,395.0,7.682518326173929,0.1225183261739291
2023-07-17 23:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,31.58,clear,3,3.09,4.89,69.33,1,1.7999999999999998,899.9999999999999,4.236646086342881,0.6533539136571189
2023-09-13 00:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,42.05,clear,15,3.01,3.8,78.43,0,0.79,395.0,3.9147905499360913,0.1147905499360915
2023-06-16 01:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,35.81,rain,8,3.15,10.94,72.22,1,7.789999999999999,3894.9999999999995,7.977615445961063,2.9623845540389366
2023-12-05 01:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,36.64,clear,18,6.56,7.71,73.45,0,1.1500000000000004,575.0000000000002,7.443004259612918,0.26699574038708196
2023-04-04 22:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,28.22,white wind,11,15.78,20.45,67.65,1,4.67,2335.0,20.573002102753744,0.12300210275374468
2023-06-15 00:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,22.06,clear,12,2.96,4.87,62.83,1,1.9100000000000001,955.0000000000001,4.034534809201137,0.835465190798863
2023-02-23 05:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,34.11,clear,16,2.89,4.67,72.88,1,1.7799999999999998,889.9999999999999,3.9869767959581304,0.6830232040418696
2023-10-24 10:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,38.31,clear,13,6.61,7.11,74.6,0,0.5,250.0,7.544495840343928,0.43449584034392785
2023-08-16 21:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,43.51,clear,16,1.43,2.8,63.49,1,1.3699999999999999,684.9999999999999,2.487562475642538,0.31243752435746197
2023-08-09 09:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,43.35,clear,7,3.02,4.77,79.34,1,1.7499999999999996,874.9999999999998,4.072915441489874,0.6970845585101255
2023-06-09 12:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,24.18,clear,20,5.54,5.63,65.93,0,0.08999999999999986,44.99999999999993,6.337402358607426,0.7074023586074265
2023-03-03 10:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,20.7,clear,5,2.73,4.11,63.49,1,1.3800000000000003,690.0000000000001,3.758723435088976,0.3512765649110241
2023-10-12 11:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,22.53,rain,11,6.15,13.22,63.73,1,7.07,3535.0,11.139737881628093,2.080262118371907
2023-01-31 19:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,31.61,clear,20,4.87,5.79,69.98,0,0.9199999999999999,459.99999999999994,5.7686607489539,0.021339251046099683
2023-02-13 21:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,28.93,white wind,7,7.07,12.61,69.25,1,5.539999999999999,2769.9999999999995,11.94595381939827,0.6640461806017299
2023-03-15 18:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,23.65,clear,18,2.76,2.77,65.56,0,0.010000000000000231,5.0000000000001155,3.8351751740366753,1.0651751740366753
2023-10-26 15:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,39.15,clear,7,3.2,3.37,74.49,0,0.16999999999999993,84.99999999999997,4.07487427697048,0.7048742769704797
2023-09-27 17:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,22.88,clear,12,4.68,6.0,63.97,1,1.3200000000000003,660.0000000000001,5.683206143840881,0.31679385615911926
2023-12-01 00:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,36.15,clear,6,1.38,3.26,59.38,1,1.88,940.0,2.598764073975132,0.6612359260248679
2023-06-07 06:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,22.55,clear,6,6.16,7.72,63.74,1,1.5599999999999996,779.9999999999998,7.304081221577887,0.415918778422113
2023-06-21 06:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,36.02,rain,7,4.97,10.99,73.02,1,6.0200000000000005,3010.0000000000005,9.908360737544026,1.0816392624559743
2023-09-23 23:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,42.89,clear,12,6.76,7.7,77.75,0,0.9400000000000004,470.00000000000017,7.889095216401079,0.1890952164010784
2023-12-10 12:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,35.41,clear,13,4.95,6.93,72.6,1,1.9799999999999995,989.9999999999998,5.979553841934498,0.9504461580655015
2023-11-03 15:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,23.58,clear,18,5.52,7.26,65.51,1,1.7400000000000002,870.0000000000001,6.539786544370305,0.7202134556296951
2023-07-15 10:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,23.69,clear,20,1.3,1.83,52.41,0,0.53,265.0,2.374559571003854,0.544559571003854
2023-08-22 10:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,39.44,rain,8,2.97,6.71,76.61,1,3.7399999999999998,1869.9999999999998,7.766855367525422,1.0568553675254222
2023-03-02 06:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,38.68,rain,1,5.03,7.68,74.85,1,2.6499999999999995,1324.9999999999998,10.271868542248153,2.5918685422481538
2023-03-20 16:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,26.71,clear,17,1.32,1.65,54.09,0,0.32999999999999985,164.99999999999991,2.267007527496247,0.6170075274962472
2023-03-18 02:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,28.75,clear,2,4.8,6.78,68.01,1,1.9800000000000004,990.0000000000002,5.964973422859331,0.8150265771406691
2023-08-16 00:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,29.01,clear,10,6.34,6.73,68.19,0,0.39000000000000057,195.00000000000028,7.314384323419975,0.5843843234199744
2023-04-08 10:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,37.28,clear,5,4.99,6.25,73.89,1,1.2599999999999998,629.9999999999999,5.896378358584782,0.35362164141521824
2023-04-02 00:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,28.59,clear,20,5.65,6.57,69.01,0,0.9199999999999999,459.99999999999994,6.635819193089223,0.06581919308922313
2023-11-03 18:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,23.07,clear,16,4.68,6.1,64.1,1,1.42,710.0,5.728821214178574,0.37117878582142527
2023-10-15 03:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,32.26,clear,14,4.88,5.22,70.43,0,0.33999999999999986,169.99999999999994,5.75644844573543,0.5364484457354299
2023-07-19 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,32.44,clear,18,2.87,4.65,71.71,1,1.7800000000000002,890.0000000000001,3.884388730738853,0.7656112692611474
2023-10-27 18:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,36.77,clear,4,1.38,3.37,59.72,1,1.9900000000000002,995.0000000000001,2.512925026868231,0.8570749731317693
2023-04-29 10:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,27.73,clear,19,5.62,5.71,68.41,0,0.08999999999999986,44.99999999999993,6.618042904617734,0.9080429046177336
2023-04-03 22:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,34.52,clear,7,3.13,4.89,71.33,1,1.7599999999999998,879.9999999999999,4.256497763215394,0.6335022367846053
2023-08-26 00:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,27.08,clear,19,1.32,3.12,54.3,1,1.8,900.0,2.4114624433750267,0.7085375566249734
2023-06-18 09:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,31.79,rain,14,3.09,8.87,69.47,1,5.779999999999999,2889.9999999999995,7.840288269094874,1.0297117309051256
2023-09-11 19:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,24.33,clear,12,6.2,8.04,64.97,1,1.839999999999999,919.9999999999994,7.320799361882767,0.7192006381172318
2023-11-02 17:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,36.88,clear,6,5.87,7.11,74.82,1,1.2400000000000002,620.0000000000001,6.795566882595395,0.31443311740460533
2023-08-21 02:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,32.25,clear,8,1.35,1.91,57.19,0,0.5599999999999998,279.99999999999994,2.3719714120364843,0.4619714120364844
2023-12-18 23:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,26.12,rain,4,3.02,6.87,65.6,1,3.85,1925.0,8.2862725646666,1.4162725646666
2023-05-24 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,22.44,clear,20,2.75,3.42,64.71,0,0.6699999999999999,334.99999999999994,3.645717620847198,0.22571762084719804
2023-12-23 09:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,35.21,rain,5,4.95,9.72,72.46,1,4.7700000000000005,2385.0000000000005,10.129936892450942,0.40993689245094167
2023-07-06 22:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,40.92,clear,6,6.7,7.45,76.4,0,0.75,375.0,7.5779856405358235,0.1279856405358233
2023-08-09 05:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,44.82,clear,5,6.82,7.13,79.08,0,0.3099999999999996,154.9999999999998,7.686743623345245,0.5567436233452447
2023-01-13 08:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,23.88,rain,7,5.53,9.58,65.72,1,4.05,2025.0,10.830643431623557,1.2506434316235566
2023-09-30 17:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,27.21,clear,17,5.61,6.8,68.05,0,1.1899999999999995,594.9999999999998,6.655285148596074,0.1447148514039256
2023-04-24 08:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,30.82,clear,8,1.35,3.02,56.39,1,1.67,835.0,2.446800001523364,0.5731999984766358
2023-08-06 00:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,34.68,clear,20,3.13,4.58,71.44,1,1.4500000000000002,725.0000000000001,4.229761964788481,0.3502380352115191
2023-04-29 23:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,44.13,clear,16,1.43,1.58,63.84,0,0.15000000000000013,75.00000000000007,2.196788527218792,0.6167885272187918
2023-03-08 02:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,27.82,clear,6,6.3,6.5,67.37,0,0.20000000000000018,100.00000000000009,7.169342182547955,0.6693421825479549
2023-04-13 11:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,34.8,clear,20,1.37,2.88,58.62,1,1.5099999999999998,754.9999999999999,2.3791138692639064,0.5008861307360934
2023-11-01 13:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,21.68,clear,4,5.47,5.57,64.18,0,0.10000000000000053,50.00000000000027,6.399113803243153,0.8291138032431524
2023-01-30 22:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,26.09,clear,4,2.79,4.34,67.26,1,1.5499999999999998,774.9999999999999,3.8299802966792256,0.5100197033207743
2023-11-09 03:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,40.09,clear,13,6.67,8.54,75.82,1,1.8699999999999992,934.9999999999997,7.703846013896529,0.8361539861034704
2023-10-21 10:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,26.33,clear,1,6.26,6.92,66.35,0,0.6600000000000001,330.00000000000006,7.2912346091113465,0.37123460911134654
2023-05-13 16:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,25.71,clear,8,1.32,1.88,53.54,0,0.5599999999999998,279.99999999999994,2.3175052509011453,0.43750525090114545
