date,origin,destiny,altitude_destiny_mbsl,distance_km,unit_type,charge_tons,weather,driver_experience_years,theorical_time_arrival_hs,real_time_hs,liters_consumed_100km,critical_delay
2023-10-22 06:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,44.19,clear,18,6.8,7.78,78.65,0
2023-12-03 01:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,32.56,clear,16,5.75,6.97,71.79,1
2023-06-26 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,43.85,clear,8,3.03,3.47,79.69,0
2023-08-26 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,29.58,clear,19,2.84,4.69,69.71,1
2023-03-11 18:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,39.82,clear,5,5.95,6.1,76.87,0
2023-06-07 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,34.35,clear,13,2.9,3.16,73.04,0
2023-12-17 10:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,30.87,clear,12,5.7,7.64,70.61,1
2023-05-19 23:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,43.75,clear,6,3.03,3.58,79.62,0
2023-04-24 21:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,25.69,clear,3,3.01,3.9,65.31,0
2023-10-16 21:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,34.94,white wind,4,3.43,7.11,58.7,1
2023-04-16 09:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,32.77,rain,7,2.88,4.99,71.94,1
2023-02-01 05:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,44.59,clear,18,3.04,4.49,80.21,1
2023-02-04 16:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,36.95,clear,20,4.99,5.93,73.66,0
2023-01-06 06:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,23.84,clear,9,5.53,7.14,65.69,1
2023-09-25 22:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,41.45,clear,16,5.09,6.49,76.76,1
2023-10-22 04:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,26.21,clear,12,5.59,6.79,67.35,0
2023-05-02 11:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,38.66,clear,17,1.4,3.14,60.78,1
2023-11-15 20:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,44.89,clear,18,1.44,1.52,64.26,0
2023-03-28 03:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,22.43,clear,8,2.75,4.39,64.7,1
2023-07-20 13:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,20.13,clear,2,2.94,3.86,61.51,0
2023-08-21 07:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,38.38,clear,1,5.91,6.89,75.87,0
2023-06-16 16:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,35.09,clear,12,1.37,1.5,58.78,0
2023-09-03 13:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,21.86,rain,18,1.29,6.15,51.38,1
2023-09-15 13:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,32.42,clear,5,5.75,6.62,71.69,0
2023-05-22 12:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,31.02,clear,2,4.85,5.2,69.58,0
2023-04-27 22:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,25.81,clear,19,6.24,7.6,65.99,1
2023-09-23 08:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,28.85,clear,19,1.33,1.39,55.29,0
2023-07-13 18:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,32.64,clear,11,5.75,5.85,71.85,0
2023-07-19 16:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,24.3,clear,5,5.54,7.08,66.01,1
2023-02-09 01:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,33.45,clear,16,6.47,7.88,71.25,1
2023-01-10 03:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,27.57,clear,20,5.62,6.59,68.3,0
2023-05-06 20:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,32.79,clear,2,6.45,6.85,70.8,0
2023-08-29 00:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,42.36,rain,3,3.01,7.03,78.65,1
2023-02-04 07:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,31.94,clear,13,1.35,3.22,57.02,1
2023-03-24 17:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,27.17,white wind,3,11.92,15.54,66.93,1
2023-10-10 21:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,35.55,clear,9,6.53,8.33,72.7,1
2023-12-16 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,24.92,clear,6,2.78,4.28,66.44,1
2023-04-03 05:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,38.95,rain,14,3.2,9.14,74.36,1
2023-05-21 17:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,41.63,clear,5,6.72,8.51,76.89,1
2023-04-02 06:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,42.78,clear,20,3.26,5.08,76.97,1
2023-09-29 20:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,20.65,clear,1,5.45,6.23,63.45,0
2023-11-10 00:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,31.13,clear,10,6.4,7.92,69.65,1
2023-11-10 09:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,42.27,snow,15,5.11,7.88,77.33,1
2023-09-09 01:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,38.12,clear,18,5.01,5.37,74.47,0
2023-11-30 15:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,20.26,clear,15,1.28,1.61,50.49,0
2023-10-18 07:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,20.75,clear,10,2.73,3.06,63.52,0
2023-07-10 02:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,32.3,clear,13,4.88,5.28,70.46,0
2023-01-06 22:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,27.61,white wind,11,3.32,7.3,54.6,1
2023-08-12 03:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,21.86,clear,12,5.48,6.16,64.3,0
2023-04-15 17:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,29.91,clear,3,5.68,7.04,69.94,1
2023-01-14 12:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,37.95,rain,8,1.39,6.17,60.38,1
2023-01-11 04:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,21.47,clear,1,4.65,5.06,63.0,0
2023-07-20 20:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,38.02,rain,2,5.01,7.32,74.4,1
2023-07-13 18:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,35.41,rain,10,2.91,5.16,73.79,1
2023-01-12 16:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,27.58,clear,6,1.33,1.56,54.58,0
2023-05-16 22:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,44.32,clear,5,5.17,6.57,78.74,1
2023-09-21 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,39.55,snow,17,2.97,8.06,76.68,1
2023-02-18 17:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,20.74,rain,16,6.11,13.73,62.5,1
2023-10-23 19:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,32.33,rain,1,6.43,9.79,70.48,1
2023-12-23 20:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,32.5,white wind,2,12.21,19.6,70.6,1
2023-07-30 19:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,26.35,clear,4,3.02,4.89,65.76,1
2023-03-27 23:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,43.14,rain,3,3.02,5.37,79.2,1
2023-06-25 20:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,33.78,rain,4,5.78,9.29,72.65,1
2023-05-18 12:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,31.24,clear,20,4.86,5.65,69.73,0
2023-09-07 18:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,28.15,clear,5,6.31,8.29,67.6,1
2023-09-28 00:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,39.73,clear,19,5.94,6.11,76.81,0
2023-12-10 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,43.17,clear,10,3.02,4.76,79.22,1
2023-05-17 22:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,35.43,clear,2,3.15,4.18,71.96,0
2023-06-17 20:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,21.11,clear,14,5.46,7.15,63.78,1
2023-03-26 20:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,36.02,white wind,11,3.45,9.7,59.3,1
2023-04-29 06:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,43.63,clear,7,3.03,4.63,79.54,1
2023-05-11 05:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,32.24,clear,7,3.1,4.63,69.78,1
2023-09-02 05:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,20.06,clear,4,2.94,4.08,61.47,0
2023-06-30 00:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,43.87,clear,11,3.03,4.49,79.71,1
2023-03-16 13:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,37.52,rain,16,2.94,5.63,75.26,1
2023-09-29 07:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,42.67,rain,20,5.12,7.7,77.6,1
2023-12-23 22:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,37.44,rain,1,2.94,5.66,75.21,1
2023-07-30 08:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,21.15,clear,20,6.12,7.86,62.78,1
2023-01-30 02:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,31.36,clear,13,4.86,5.29,69.81,0
2023-03-16 03:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,34.27,clear,19,2.9,3.41,72.99,0
2023-03-30 01:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,33.54,clear,19,2.89,4.35,72.48,1
2023-04-13 19:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,27.69,clear,5,5.62,6.16,68.38,0
2023-05-05 06:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,39.51,white wind,1,14.85,19.9,76.66,1
2023-09-17 16:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,32.78,white wind,11,7.19,12.6,71.95,1
2023-08-09 02:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,28.19,snow,8,2.82,9.3,68.73,1
2023-02-09 21:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,42.31,clear,2,6.74,8.64,77.35,1
2023-04-22 13:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,20.96,clear,2,6.11,7.01,62.65,0
2023-10-25 23:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,42.29,clear,7,1.42,3.16,62.81,1
2023-05-12 04:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,39.74,clear,9,5.95,7.66,76.82,1
2023-05-20 03:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,30.32,clear,7,3.07,3.92,68.47,0
2023-05-17 10:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,38.64,white wind,6,12.57,15.96,74.83,1
2023-09-22 20:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,25.32,clear,18,1.31,3.19,53.32,1
2023-02-26 10:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,29.86,snow,20,3.07,7.33,68.15,1
2023-07-23 21:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,20.06,clear,1,2.72,4.27,63.04,1
2023-05-02 15:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,42.03,rain,2,3.25,9.69,76.46,1
2023-05-18 19:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,30.25,clear,4,3.07,4.48,68.42,1
2023-01-26 07:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,31.86,clear,11,6.42,6.51,70.16,0
2023-08-22 12:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,32.94,white wind,1,7.2,10.07,72.06,1
2023-11-28 22:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,34.46,rain,12,3.13,7.38,71.29,1
2023-01-12 03:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,30.82,clear,18,2.85,4.09,70.57,1
2023-12-24 20:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,44.27,clear,6,6.81,8.37,78.7,1
2023-07-10 06:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,35.52,snow,12,2.91,10.7,73.86,1
2023-01-04 05:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,43.03,clear,7,3.26,4.29,77.14,0
2023-11-22 23:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,22.55,clear,18,4.67,5.72,63.74,0
2023-07-02 19:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,21.81,clear,12,4.66,4.98,63.23,0
2023-12-06 17:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,38.05,clear,4,3.18,4.67,73.74,1
2023-11-21 00:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,30.06,clear,13,4.83,6.03,68.92,0
2023-11-02 08:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,25.66,clear,16,4.74,5.68,65.89,0
2023-12-02 02:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,22.51,rain,13,2.75,6.22,64.76,1
2023-04-24 02:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,28.29,clear,8,1.33,2.56,54.98,1
2023-06-20 02:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,35.14,clear,13,3.14,4.19,71.76,0
2023-01-10 00:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,44.73,clear,12,5.18,7.01,79.02,1
2023-06-20 21:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,24.9,clear,13,2.78,3.5,66.43,0
2023-01-28 14:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,42.74,clear,10,1.42,2.75,63.06,1
2023-01-07 08:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,27.86,snow,11,2.81,5.31,68.5,1
2023-06-02 19:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,22.32,clear,13,2.96,4.61,63.01,1
2023-06-24 00:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,33.23,white wind,14,7.78,11.98,70.45,1
2023-11-15 09:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,33.24,rain,17,2.88,7.02,72.27,1
2023-04-16 23:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,27.56,clear,17,5.62,7.2,68.29,1
2023-06-01 18:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,38.38,rain,13,5.02,9.73,74.65,1
2023-07-26 00:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,23.55,clear,6,5.52,5.6,65.48,0
2023-06-29 02:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,37.95,rain,11,2.95,6.37,75.56,1
2023-06-14 18:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,40.62,clear,18,1.41,1.68,61.88,0
2023-07-31 18:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,40.61,clear,17,3.22,4.2,75.49,0
2023-12-25 02:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,35.27,snow,6,1.37,5.62,58.88,1
2023-01-25 19:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,34.25,white wind,6,7.24,14.05,72.97,1
2023-12-06 19:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,36.8,clear,1,6.57,7.15,73.56,0
2023-06-13 20:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,23.33,snow,4,2.98,8.38,63.7,1
2023-08-11 03:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,29.63,clear,13,1.34,2.6,55.73,1
2023-10-16 17:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,32.35,clear,2,2.87,3.06,71.64,0
2023-09-23 21:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,33.33,white wind,19,12.26,16.21,71.17,1
2023-04-12 12:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,29.96,rain,19,4.83,7.08,68.85,1
2023-10-13 06:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,41.12,clear,6,1.41,2.7,62.15,1
2023-05-01 14:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,21.21,rain,17,2.73,4.74,63.85,1
2023-03-27 02:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,41.25,snow,7,5.99,13.3,77.88,1
2023-09-22 07:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,22.5,clear,9,6.15,7.19,63.71,0
2023-07-05 23:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,28.19,clear,14,2.82,4.7,68.73,1
2023-11-23 11:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,35.75,clear,16,5.83,7.6,74.02,1
2023-10-26 23:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,34.92,white wind,2,14.53,18.65,73.44,1
2023-11-02 08:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,40.2,clear,8,2.98,4.48,77.14,1
2023-01-07 23:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,40.79,clear,13,2.99,3.69,77.55,0
2023-12-27 12:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,28.42,clear,16,3.05,4.8,67.17,1
2023-09-30 09:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,22.42,clear,16,2.97,3.07,63.08,0
2023-04-24 10:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,34.98,clear,4,1.37,2.69,58.72,1
2023-02-05 20:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,32.04,snow,14,6.42,10.88,70.28,1
2023-07-05 23:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,41.61,white wind,18,8.1,10.24,76.17,1
2023-06-09 02:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,22.34,clear,12,2.96,3.99,63.02,0
2023-06-24 06:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,28.41,white wind,5,15.79,21.45,67.78,1
2023-09-29 09:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,41.83,white wind,18,3.54,10.3,62.55,1
2023-08-20 13:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,30.57,clear,6,4.84,5.96,69.27,0
2023-04-27 10:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,29.44,clear,12,6.35,6.6,68.49,0
2023-07-27 12:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,36.8,white wind,11,14.66,16.8,74.76,1
2023-01-29 01:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,29.17,clear,16,4.81,6.77,68.3,1
2023-08-21 14:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,24.36,rain,6,1.31,3.35,52.78,1
2023-05-18 11:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,35.44,clear,2,4.95,4.95,72.62,0
2023-06-07 05:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,38.32,rain,2,2.95,6.11,75.82,1
2023-04-19 19:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,28.81,clear,5,6.33,6.92,68.06,0
2023-09-27 04:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,4x4 truck,24.27,white wind,12,13.84,19.68,65.99,1
2023-01-25 16:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,35.95,clear,5,4.96,5.84,72.97,0
2023-02-23 19:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,22.73,clear,12,4.68,5.25,63.87,0
2023-02-13 09:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,39.06,rain,18,3.2,9.91,74.43,1
2023-01-13 16:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,28.16,white wind,3,3.32,6.35,54.91,1
2023-01-21 01:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,35.66,clear,20,1.38,3.26,59.1,1
2023-05-29 09:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,43.7,clear,2,3.03,3.6,79.59,0
2023-12-30 20:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,32.2,white wind,6,14.35,21.75,71.54,1
2023-08-25 16:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,25.07,clear,4,2.78,3.95,66.55,0
2023-06-04 04:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,23.33,rain,14,1.3,6.01,52.2,1
2023-06-19 04:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,40.96,clear,7,5.98,7.08,77.67,0
2023-12-05 10:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,23.38,clear,1,2.76,4.45,65.37,1
2023-04-18 06:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,36.08,rain,4,5.84,10.08,74.26,1
2023-10-28 11:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,43.33,clear,8,3.27,4.54,77.35,1
2023-01-12 02:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,4x4 truck,20.27,clear,8,6.09,7.73,62.17,1
2023-12-07 22:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,30.29,clear,20,2.84,4.52,70.2,1
2023-03-21 16:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,33.94,clear,10,5.79,6.64,72.76,0
2023-01-05 03:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,31.32,clear,4,6.4,7.76,69.78,1
2023-05-19 02:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,24.08,rain,20,2.99,7.61,64.21,1
2023-11-18 16:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,bitrain,37.26,clear,16,3.17,4.83,73.2,1
2023-03-09 15:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,34.68,clear,12,4.93,5.53,72.1,0
2023-10-10 00:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,38.29,clear,12,2.95,4.41,75.8,1
2023-05-14 12:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,36.86,clear,6,4.98,6.35,73.6,1
2023-01-23 03:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,25.51,clear,14,2.78,3.48,66.86,0
